pullSeqNo,producedFrameNumber,pullAtNs,latencyNs
756,755,27836350898083,3448500
757,756,27836417218875,5322625
758,757,27836484289125,3416625
759,758,27836551000625,3525542
760,759,27836617677458,3388250
761,760,27836684357291,3409583
762,761,27836750728208,3085042
763,762,27836817735833,3497458
764,763,27836884082791,4907791
765,764,27836951150916,3879625
766,765,27837017836583,3599708
767,766,27837084488541,3544708
768,767,27837151302250,3708125
769,768,27837217964958,5440083
770,769,27837284611500,3695084
771,770,27837351339291,5398958
772,771,27837418021791,4476583
773,772,27837484718791,3781666
774,773,27837551399000,4091042
775,774,27837618144125,3984167
776,775,27837684772458,3974458
777,776,27837751115833,5259208
778,777,27837818174250,3975125
779,778,27837884889250,5089834
780,779,27837951586375,5157500
781,780,27838018349208,5138667
782,781,27838084973583,5114458
783,782,27838151668875,5096167
784,783,27838218333208,5093708
785,784,27838284716500,5650959
786,785,27838351721250,4292125
787,786,27838418483666,5182916
788,787,27838485168583,5243292
789,788,27838551817291,5215875
790,789,27838618547375,5262625
791,790,27838684866916,6723833
792,791,27838751902541,5394791
793,792,27838818550875,5170167
794,793,27838885311375,5477834
795,794,27838951952125,5302084
796,795,27839018667916,5374000
797,796,27839085345375,5110959
798,797,27839152063500,5291834
799,798,27839218409083,6710958
800,799,27839285439041,5379125
801,800,27839351813666,6508666
802,801,27839418867958,7048125
803,802,27839485585875,5161500
804,803,27839552221500,5173042
805,804,27839618583208,6700042
806,805,27839685598916,5345083
807,806,27839752332958,5048250
808,807,27839818975416,5266583
809,808,27839885756583,5310542
810,809,27839952372083,5137542
811,810,27840019081000,5160459
812,811,27840085415125,6690500
813,812,27840152441000,5269209
814,813,27840219124375,5353209
815,814,27840285871666,5250875
816,815,27840352517083,5334167
817,816,27840419242833,5959167
818,817,27840485919541,5160166
819,818,27840552626541,5563333
820,819,27840618991833,6660667
821,820,27840686018541,5302875
822,821,27840752716250,5248709
823,822,27840819387458,5261625
824,823,27840886151583,5377000
825,824,27840952795083,5138417
826,825,27841019135583,7136333
827,826,27841086143375,5905917
828,827,27841152885458,6054125
829,828,27841219557708,6374625
830,829,27841286266416,5872041
831,830,27841352952500,5915250
832,831,27841419614833,6328458
833,832,27841486313958,5790458
834,833,27841553017666,5865833
835,834,27841619708291,5895166
836,835,27841686065333,7019208
837,836,27841753015541,5801375
838,837,27841819802750,6070792
839,838,27841886538500,5945542
840,839,27841953171666,5925750
841,840,27842019922958,5924833
842,841,27842086567791,5991541
843,842,27842152886708,7030417
844,843,27842219989666,7188250
845,844,27842286669958,6007750
846,845,27842353363208,6463958
847,846,27842420045916,6382666
848,847,27842486754958,6456042
849,848,27842553446958,6415708
850,849,27842620128250,6356875
851,850,27842686791625,6368292
852,851,27842753508208,6382375
853,852,27842819832375,7362792
854,853,27842886928500,6309667
855,854,27842953647250,6408542
856,855,27843020294750,6464209
857,856,27843086977166,6146500
858,857,27843153668666,6374708
859,858,27843220516125,6442334
860,859,27843287063125,6398709
861,860,27843353430958,7285708
862,861,27843420440250,6573875
863,862,27843487134833,6271125
864,863,27843553842541,6423416
865,864,27843620552291,6465166
866,865,27843687229416,6526666
867,866,27843753539291,7434708
868,867,27843820609208,6501083
869,868,27843887313333,6612333
870,869,27843954008250,6639334
871,870,27844020680250,6626500
872,871,27844087393208,6647917
873,872,27844154114541,6781916
874,873,27844220854458,7166083
875,874,27844287067958,7388875
876,875,27844354151583,6807833
877,876,27844420864625,7145917
878,877,27844487514458,6793333
879,878,27844554268791,6881750
880,879,27844620948291,6961750
881,880,27844687267958,7665458
882,881,27844754351583,6956708
883,882,27844821097750,7173750
884,883,27844887734958,7016000
885,884,27844954419833,7048500
886,885,27845021152125,6853792
887,886,27845087441708,7711167
888,887,27845154454375,7089584
889,888,27845221206708,7110083
890,889,27845287922125,7165000
891,890,27845354501916,7159750
892,891,27845421232000,7551167
893,892,27845487957250,8540084
894,893,27845554647791,7280666
895,894,27845621350125,7294417
896,895,27845687642958,7862208
897,896,27845754718333,7380833
898,897,27845821448625,7443125
899,898,27845888123250,8446334
900,899,27845954793041,7497791
